VarName,LowIndex,HighIndex
Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),0,49
PLENUM-1:Zone Mean Radiant Temperature [C](Hourly),0,49
SPACE1-1:Zone Mean Radiant Temperature [C](Hourly),0,49
SPACE2-1:Zone Mean Radiant Temperature [C](Hourly),0,49
SPACE3-1:Zone Mean Radiant Temperature [C](Hourly),0,49
SPACE4-1:Zone Mean Radiant Temperature [C](Hourly),0,49
SPACE5-1:Zone Mean Radiant Temperature [C](Hourly),0,49
PLENUM-1:Zone Operative Temperature [C](Hourly),0,49
SPACE1-1:Zone Operative Temperature [C](Hourly),0,49
SPACE2-1:Zone Operative Temperature [C](Hourly),0,49
SPACE3-1:Zone Operative Temperature [C](Hourly),0,49
SPACE4-1:Zone Operative Temperature [C](Hourly),0,49
SPACE5-1:Zone Operative Temperature [C](Hourly),0,49
PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),0,49
PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),0,49
PLENUM-1:Zone Air Temperature [C](Hourly),0,49
PLENUM-1:Zone Air Humidity Ratio [](Hourly),0,49
PLENUM-1:Zone Air Relative Humidity [%](Hourly),0,49
SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),0,49
SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),0,49
SPACE1-1:Zone Air Temperature [C](Hourly),0,49
SPACE1-1:Zone Air Humidity Ratio [](Hourly),0,49
SPACE1-1:Zone Air Relative Humidity [%](Hourly),0,49
SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),0,49
SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),0,49
SPACE2-1:Zone Air Temperature [C](Hourly),0,49
SPACE2-1:Zone Air Humidity Ratio [](Hourly),0,49
SPACE2-1:Zone Air Relative Humidity [%](Hourly),0,49
SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),0,49
SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),0,49
SPACE3-1:Zone Air Temperature [C](Hourly),0,49
SPACE3-1:Zone Air Humidity Ratio [](Hourly),0,49
SPACE3-1:Zone Air Relative Humidity [%](Hourly),0,49
SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),0,49
SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),0,49
SPACE4-1:Zone Air Temperature [C](Hourly),0,49
SPACE4-1:Zone Air Humidity Ratio [](Hourly),0,49
SPACE4-1:Zone Air Relative Humidity [%](Hourly),0,49
SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),0,49
